日期,新增确诊病例-湖北省,新增确诊病例-武汉市,新增死亡病例-湖北省,新增死亡病例-武汉市,新增治愈出院-湖北省,新增治愈出院-武汉市,累计确诊病例-湖北省,累计确诊病例-武汉市,累计死亡病例-湖北省,累计死亡病例-武汉市,累计治愈出院-湖北省,累计治愈出院-武汉市,现有在院治疗-湖北省,在院重症病例-湖北省,在院危重症病例-湖北省,现有疑似病例-湖北省,当日新增疑似病例-湖北省,当日排除疑似病例-湖北省,集中隔离疑似病例病例-湖北省,追踪到密切接触者-湖北省,已解除医学观察-湖北省,尚在接受医学观察-湖北省,新增无症状感染者-湖北省,当日转为确诊病例无症状感染者-湖北省,当日解除隔离无症状感染者-湖北省,尚在医学观察无症状感染者-湖北省,累计确诊病例-武汉市,累计确诊病例-黄石市,累计确诊病例-十堰市,累计确诊病例-襄阳市,累计确诊病例-宜昌市,累计确诊病例-荆州市,累计确诊病例-荆门市,累计确诊病例-鄂州市,累计确诊病例-孝感市,累计确诊病例-黄冈市,累计确诊病例-咸宁市,累计确诊病例-随州市,累计确诊病例-恩施州,累计确诊病例-仙桃市,累计确诊病例-天门市,累计确诊病例-潜江市,累计确诊病例-神农架林区,累计确诊病例-监狱,累计治愈出院-武汉市,累计治愈出院-黄石市,累计治愈出院-十堰市,累计治愈出院-襄阳市,累计治愈出院-宜昌市,累计治愈出院-荆州市,累计治愈出院-荆门市,累计治愈出院-鄂州市,累计治愈出院-孝感市,累计治愈出院-黄冈市,累计治愈出院-咸宁市,累计治愈出院-随州市,累计治愈出院-恩施州,累计治愈出院-仙桃市,累计治愈出院-天门市,累计治愈出院-潜江市,累计治愈出院-神农架林区,累计治愈出院-监狱,累计死亡病例-武汉市,累计死亡病例-黄石市,累计死亡病例-十堰市,累计死亡病例-襄阳市,累计死亡病例-宜昌市,累计死亡病例-荆州市,累计死亡病例-荆门市,累计死亡病例-鄂州市,累计死亡病例-孝感市,累计死亡病例-黄冈市,累计死亡病例-咸宁市,累计死亡病例-随州市,累计死亡病例-恩施州,累计死亡病例-仙桃市,累计死亡病例-天门市,累计死亡病例-潜江市,累计死亡病例-神农架林区,累计死亡病例-监狱,备注,来源
2020/1/20,72,60,2,2,0,0,270,,6,,25,25,239,51,12,,,,,1070,739,331,,,,,258,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200121_2013871.shtml
2020/1/21,105,105,3,3,3,3,375,,9,,28,28,338,65,23,,,,,1181,755,426,,,,,363,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200122_2014327.shtml
2020/1/22,69,62,8,8,0,0,444,,17,,28,28,399,71,24,,,,,2556,863,1693,,,,,425,0,0,0,0,6,1,0,0,12,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200123_2014520.shtml
2020/1/23,105,70,7,6,3,3,549,495,24,,31,31,494,106,23,,,,,3653,877,2776,,,,,495,0,1,0,1,8,8,0,22,12,0,0,0,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200124_2014626.shtml
2020/1/24,180,77,15,15,1,1,729,572,39,38,32,32,658,100,57,,,,,5682,971,4711,,,,,572,0,5,0,1,10,21,1,26,64,0,5,11,10,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200125_2014855.shtml
2020/1/25,323,46,13,7,10,8,1052,618,52,45,42,40,,129,,,,,,7989,1085,6904,,,,,618,31,20,2,20,33,38,1,55,122,43,36,17,11,5,0,0,0,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,45,1,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200126_2015056.shtml
2020/1/26,371,80,24,18,2,2,1423,698,76,63,44,42,,221,69,,,,,10394,1291,9103,,,,,698,36,40,36,31,47,90,20,100,154,64,52,25,12,13,5,0,0,42,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,63,1,0,0,1,2,3,0,1,4,0,0,0,0,0,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200127_2015307.shtml
2020/1/27,1291,892,24,22,,,2714,1590,100,85,47,,2567,563,127,,,,,16904,,15559,,,,,1590,53,65,70,51,71,114,57,173,213,91,70,38,27,23,7,1,0,44,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,85,1,0,0,1,2,3,0,1,4,0,0,0,0,2,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200128_2015612.shtml
2020/1/28,840,315,25,19,,,3554,1905,125,104,80,,3349,671,228,,,,,22095,,20366,,,,,1905,86,88,131,63,101,142,84,274,324,112,116,51,32,34,8,3,0,77,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,104,1,0,0,1,2,4,1,3,5,0,0,0,0,3,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200129_2015923.shtml
2020/1/29,1032,356,37,25,10,7,4586,2261,162,129,90,,4334,711,277,,,,,28780,,26632,,,,,2261,113,119,163,117,151,191,123,399,496,130,143,66,55,44,10,5,0,84,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,129,1,0,0,1,3,4,2,6,12,0,0,0,0,3,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200130_2016305.shtml
2020/1/30,1220,378,42,30,26,21,5806,2639,204,159,116,,5486,804,290,,,,,35144,,32340,,,,,2639,168,150,286,167,221,227,189,541,573,166,228,75,90,67,12,7,0,105,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,2,0,159,1,0,0,1,3,5,6,9,12,0,0,0,1,6,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200131_2016682.shtml
2020/1/31,1347,576,45,33,50,36,7153,3215,249,192,166,,6738,956,338,,,,,41075,,36838,,,,,3215,209,177,347,276,287,251,227,628,726,206,304,87,97,82,27,7,0,141,0,0,0,0,2,1,0,2,17,1,0,0,0,0,0,2,0,192,2,0,0,1,4,5,9,12,14,0,1,0,1,7,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200201_2017102.shtml
2020/2/1,1921,894,45,32,49,32,9074,4109,294,224,215,,8565,1118,444,,,,,48571,,43121,,,,,4109,252,212,441,353,333,329,278,749,1002,246,384,105,140,99,35,7,0,173,1,0,0,0,2,3,0,2,27,1,3,1,0,0,0,2,0,224,2,0,0,1,4,7,13,14,15,0,3,0,3,7,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200202_2017660.shtml
2020/2/2,2103,1033,56,41,80,53,11177,5142,350,265,295,,9618,1223,478,,,,,56088,,48171,,,,,5142,334,256,548,392,499,345,306,918,1246,296,458,111,169,115,35,7,0,226,9,2,0,1,4,6,2,2,32,1,3,5,0,0,0,2,0,265,2,0,0,1,6,11,15,14,17,0,5,0,3,10,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200203_2018274.shtml
2020/2/3,2345,1242,64,48,101,79,13522,6384,414,313,396,,10990,1567,576,,,,,68988,,58544,,,,,6384,405,291,632,452,613,400,332,1120,1422,348,641,123,188,117,44,10,0,305,10,6,0,2,7,6,4,4,41,1,3,5,0,0,0,2,0,313,2,0,1,3,7,14,18,17,19,0,6,0,3,10,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200204_2018744.shtml
2020/2/4,3156,1967,65,49,125,65,16678,8351,479,362,520,,12627,1809,711,,,,,81039,,66764,,,,,8351,509,318,735,496,713,422,382,1462,1645,384,706,138,225,128,54,10,0,370,18,9,6,9,10,16,6,6,52,2,9,6,0,0,0,2,0,362,2,0,2,4,9,16,18,18,25,0,8,0,4,10,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200205_2019295.shtml
2020/2/5,2987,1766,70,52,113,63,19665,10117,549,414,633,,14314,2328,756,,,,,90997,,64127,,,,,10117,566,353,787,563,801,508,423,1886,1807,399,834,144,265,138,64,10,0,433,25,14,9,9,19,21,8,9,62,3,9,10,0,1,0,2,0,414,2,0,2,6,10,17,18,25,29,1,9,0,5,10,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200206_2019846.shtml
2020/2/6,2447,1501,69,64,184,103,22112,11618,618,478,817,,15804,3161,841,,,,,101599,,64057,,,,,11618,635,395,838,610,885,553,471,2141,1897,443,915,157,307,163,74,10,0,536,31,24,28,11,23,24,9,25,68,6,9,10,11,1,0,2,0,478,2,0,3,7,10,17,18,25,32,1,9,0,5,10,1,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200207_2020607.shtml
2020/2/7,2841,1985,81,67,298,164,24953,13603,699,545,1115,,19835,4188,1007,,,,,114044,,67802,,,,,13603,703,438,907,633,941,588,569,2313,2041,476,953,160,359,179,80,10,0,700,43,33,30,24,30,36,11,38,105,12,23,13,14,1,1,2,0,545,2,0,5,8,11,18,20,26,36,2,9,0,5,10,2,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200208_2021417.shtml
2020/2/8,2147,1379,81,63,324,179,27013,14981,780,608,1439,,20993,4093,1154,,,,,123827,,70438,,,,,14981,753,467,962,704,997,629,636,2436,2137,493,984,166,379,197,82,10,0,879,53,40,39,36,34,48,42,45,137,23,23,20,16,1,2,2,0,608,2,0,7,8,13,19,21,29,43,4,9,0,5,10,2,0,0,2月10日，各市州在报告2月9日确诊病例数时，对前日报告的截至2月8日24时确诊病例累计数（全省累计确诊病例 27100例）进行了修正：将2月8日全省87例临床诊断病例从确诊病例中核减，修正后截至2月8日24时，全省确诊病例累计27013例。修正具体情况如下：武汉市核减1例、黄石市核减7例、襄阳市核减26例、宜昌市核减7例、荆门市核减34例、鄂州市核减3例、黄冈市核减4例、恩施州核减5例。详见http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200210_2022870.shtml,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200209_2021932.shtml
2020/2/9,2618,1921,91,73,356,167,29631,16902,871,681,1795,,22160,4269,1236,18438,,7194,14388,132555,,73127,,,,,16902,805,481,1019,749,1045,641,725,2541,2252,507,1049,187,416,217,85,10,0,1046,67,46,41,43,46,63,48,81,189,44,23,24,16,10,3,6,0,681,3,0,9,8,15,20,24,33,45,4,10,0,7,10,2,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200210_2022516.shtml
2020/2/10,2097,1552,103,67,427,162,31728,18454,974,748,2222,,25087,5046,1298,16687,,3390,17259,144279,,76207,,,,,18454,835,505,1063,772,1075,656,790,2642,2332,515,1095,195,438,261,90,10,0,1208,82,59,48,52,56,69,61,139,279,51,26,31,41,12,3,6,0,748,5,1,12,8,17,21,26,41,52,5,12,2,11,10,3,0,0,集中隔离病例含临床确诊病例,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200211_2023519.shtml
2020/2/11,1638,1104,94,72,417,171,33366,19558,1068,820,2639,,26121,5724,1517,11295,,6756,15514,152251,,77195,,,,,19558,874,536,1088,784,1110,696,861,2751,2398,525,1129,203,460,293,90,10,0,1379,96,70,59,62,80,81,72,179,338,65,51,38,43,12,8,7,0,820,6,1,12,8,21,24,28,45,54,6,12,3,13,10,5,0,0,集中隔离病例含临床确诊病例,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200212_2024650.shtml
2020/2/12,14840,13436,242,216,802,538,48206,32994,1310,1036,3441,,33693,5647,1437,9028,,3317,6126,158377,,77308,,,,,32994,911,562,1101,810,1431,927,1065,2874,2662,534,1160,229,480,362,94,10,0,1917,113,81,65,72,102,92,95,207,427,84,62,48,48,13,8,8,0,1036,9,1,13,11,23,24,30,49,58,7,14,4,16,10,5,0,0,该日起湖北省将临床诊断病例数纳入确诊病例数进行公布,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200213_2025580.shtml
2020/2/13,4823,3910,116,88,690,370,51986,35991,,,,,36719,7593,1685,6169,,3689,5352,166818,,77685,,,,,35991,943,586,1111,877,1447,901,1125,3009,2791,732,1206,237,500,416,104,10,0,2287,137,89,72,81,159,105,116,255,504,99,72,58,58,21,11,8,0,,,,,,,,,,,,,,,,,,,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200214_2027190.shtml
2020/2/14,2420,1923,139,107,912,486,54406,37914,1457,1123,4774,,38107,8276,1876,5534,,1702,5149,176148,,77323,,,,,37914,980,597,1128,906,1478,902,1192,3114,2817,840,1232,244,514,422,116,10,0,2502,170,100,85,92,192,112,199,313,611,127,96,71,63,21,12,8,0,1123,13,2,18,15,32,28,33,62,68,8,19,4,17,10,5,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200215_2028357.shtml
2020/2/15,1843,1548,139,110,849,413,56249,39462,1596,1233,5623,,39447,8439,1957,,,,,183183,,74261,,,,,39462,988,602,1144,901,1490,909,1230,3201,2823,852,1254,247,523,447,166,10,0,2915,192,116,114,140,263,117,222,353,716,152,113,76,87,27,12,8,0,1233,14,2,19,21,36,30,34,65,75,8,22,4,17,10,6,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200216_2038781.shtml
2020/2/16,1933,1690,100,76,1016,543,58182,41152,1696,1309,6639,,40814,8024,1773,4826,909,1260,4384,191434,,71613,,,,,41152,983,612,1155,895,1501,915,1274,3279,2831,861,1267,249,531,485,182,10,0,3458,206,126,151,156,305,132,244,449,838,181,140,81,107,39,18,8,0,1309,15,2,20,24,37,33,35,70,78,10,24,4,19,10,6,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200217_2039348.shtml
2020/2/17,1807,1600,93,72,1223,761,59989,42752,1789,1381,7862,,41957,9117,1853,4194,788,1370,4062,199322,,69270,,,,,42752,985,626,1163,904,1537,900,1339,3320,2828,868,1278,250,544,500,185,10,0,4219,215,144,182,186,339,143,265,523,941,204,198,90,121,55,27,10,0,1381,20,2,21,24,38,33,36,75,84,10,25,4,19,11,6,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200218_2091009.shtml
2020/2/18,1693,1660,132,116,1266,676,61682,44412,1921,1497,9128,,43471,9289,1957,3462,596,1302,3355,206087,,68345,,,,,44412,983,638,1165,907,1541,901,1343,3344,2844,832,1280,249,562,486,185,10,0,4895,262,164,230,208,409,181,301,572,1059,225,254,96,149,73,40,10,0,1497,25,2,22,25,38,33,37,82,85,10,26,3,19,11,6,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200219_2129956.shtml
2020/2/19,775,615,108,88,1209,553,62457,45027,2029,1585,10337,,43745,9128,2050,3456,880,872,3334,214093,,65525,,,,,45027,985,643,1168,910,1553,906,1368,3410,2866,834,1288,249,567,488,185,10,0,5448,299,187,294,231,451,201,350,673,1149,268,308,102,184,133,49,10,0,1585,26,2,23,27,40,34,38,89,87,10,27,3,19,12,7,0,0,2月19日，有的市州对前期报告的临床诊断病例按照第六版诊疗方案进行订正，核减了部分确诊病例。2月20日发现并及时叫停了这一错误做法。2月21日将2月19日核减的病例数重新加回到确诊病例，并对当日新增病例数进行订正。2月19日0-24时，湖北省新增确诊病例由349例订正为775例，累计确诊病例数由62031例订正为62457例。详见http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200221_2144867.shtml,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200220_2141276.shtml
2020/2/20,631,319,115,99,1451,766,63088,45326,2144,1684,11788,6214,42056,8979,2018,4094,1279,610,3906,225696,,63126,,,,,45346,992,656,1171,914,1560,912,1373,3427,2883,834,1292,250,568,492,188,10,220,6214,339,209,343,250,531,229,375,771,1274,313,386,112,210,165,57,10,0,1684,27,2,24,28,40,37,39,94,90,10,28,3,19,12,7,0,0,（一）目前，我省监狱没有接入传染病疫情网络报告系统， 2月20日夜接到监狱部门手工报卡后，经认真审核确认，截至2月20日24时，监狱部门报告的271例新冠肺炎确诊病例中有 51例前期已纳入相关地区统计并公布，其余220例确诊病例和10例疑似病例现纳入2月20日疫情数据进行公布。（二）2月19日，有的市州对前期报告的临床诊断病例按照第六版诊疗方案进行订正，核减了部分确诊病例。2月20日发现并及时叫停了这一错误做法。2月21日将2月19日核减的病例数重新加回到确诊病例，并对当日新增病例数进行订正。将截至2月20日24时的全省累计确诊病例数由62662例订正为63088例。详见http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200221_2144867.shtml,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200221_2144225.shtml
2020/2/21,366,314,106,90,1767,992,63454,45660,2250,1774,13557,7206,41036,8400,2492,4490,1125,677,4275,234217,,62787,,,,,45660,997,659,1173,914,1566,914,1375,3429,2899,836,1296,251,571,493,189,11,221,7206,391,239,402,273,612,296,386,917,1408,358,443,117,231,198,67,10,3,1774,28,2,26,29,40,37,39,98,95,11,29,3,19,12,8,0,0,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202002/t20200222_2144961.shtml
2020/2/22,630,541,96,82,1742,965,64084,46201,2346,1856,15299,8171,40127,8583,1845,3363,631,1750,3213,240937,,61181,,,,,46201,1001,667,1173,917,1574,918,1379,3443,2904,836,1300,251,571,494,191,11,253,8171,442,267,463,289,681,361,417,1078,1540,398,498,123,248,232,78,10,3,1856,29,2,28,29,41,37,40,102,98,11,30,3,19,13,8,0,0,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200223_2145593.shtml
2020/2/23,398,348,149,131,1439,772,64287,46607,2495,1987,16738,8946,39073,7776,1654,2770,450,1036,2652,246781,,58575,,,,,46607,1005,669,1174,924,1574,920,1383,3465,2904,836,1303,251,573,494,194,11,,8946,490,293,521,304,734,389,465,1177,1659,445,551,146,268,258,82,10,,1987,30,2,29,29,42,37,40,108,103,11,33,4,19,13,8,0,,（一）武汉市累计确诊病例订正重卡195例；（二）按疫情报告规定，监狱疫情并入武汉市等地统计，不再单列。,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200224_2146303.shtml
2020/2/24,499,464,68,56,2116,1391,64786,47071,2563,2043,18854,10337,37896,7090,1585,2292,373,846,2245,251265,,53474,,,,,47071,1008,671,1175,926,1576,920,1385,3482,2904,836,1305,251,575,495,195,11,,10337,534,315,593,328,776,432,496,1328,1760,504,601,151,316,282,91,10,,2043,31,3,30,29,42,37,41,110,106,11,36,4,19,13,8,0,,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200225_2146908.shtml
